source	relation	target	Data_Source	Unnamed: 0	Subject	Relation	Object	Score	PubMedID	EvidenceSentence	PublicationTitle	Journal	Correctness	Confidence	Comments	Disease
GLP1R	increases	LEP	Manual													
CDKAL1	hasVariant	CDKAL1	Manual													
KCNQ1	hasVariant	KCNQ1	Manual													
IDE	hasVariant	IDE	Manual													
HHEX	hasVariant	HHEX	Manual													
MIR31	decreases	TNF	Manual													
MIR31	decreases	IL6	Manual													
MIR31	decreases	ICAM1	Manual													
WNT5A	positiveCorrelation	IL6	Manual													
CDKN1A	decreases	CDKN1A	Manual													
CDKN1A	hasVariant	CDKN1A	Manual													
HFE	increases	HAMP	Manual													
HAMP	decreases	SLC40A1	Manual													
IL1A	increases	LIPG	Manual													
MACROD1	negativeCorrelation	IRS1	Manual													
SOD2	hasVariant	SOD2	Manual													
APEX1	hasVariant	APEX1	Manual													
GCKR	decreases	GCKR	Manual													
GCKR	increases	CPR	Manual													
PPARA	increases	PPARGC1A	Manual													
ADIPOR1	increases	PRKAA2	Manual													
C5	increases	CR1	Manual													
ADIPOQ	increases	ADIPOR1	Manual													
ADIPOQ	increases	ADIPOR2	Manual													
DIO2	hasVariant	DIO2	Manual													
STAT3	hasVariant	STAT3	Manual													
ARNTL	increases	DIO2	Manual													
PRKAA2	increases	PPARGC1A	Manual													
PRKAA2	hasVariant	PRKAA2	Manual													
ADIPOR2	increases	PPARA	Manual													
NEUROG3	increases	NEUROG3	Manual													
AKT1	hasVariant	AKT1	Manual													
CDKN2B	hasVariant	CDKN2B	Manual													
CTSD	positiveCorrelation	CCL2	Manual													
GCG	increases	ABCA1	Manual													
GCG	increases	ABCA1	Manual													
PTPN1	negativeCorrelation	INS	Manual													
PTPN1	negativeCorrelation	LEPR	Manual													
JAK2	increases	LEPR	Manual													
LEPR	increases	STAT3	Manual													
LEPR	increases	STAT5A	Manual													
LEPR	increases	PTPN11	Manual													
Psychosis	positiveCorrelation	Prediabetes	Auto	23.0	path(DO:2468 ! Psychosis)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.834892631	26468398.0	OBJECTIVE: The objectives of this study were to (1) analyze the prevalence of diabetes, prediabetes, and antidiabetic medication in patients with psychosis compared with control subjects and (2) determine what factors in patients with psychosis were associated with antidiabetic medication.	Diabetes and glucose disturbances in patients with psychosis in Sweden.	BMJ Open Diabetes Res Care				
Psychosis	positiveCorrelation	Prediabetes	Auto	24.0	path(DO:2468 ! Psychosis)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.845911205	26468398.0	OBJECTIVE: The objectives of this study were to (1) analyze the prevalence of diabetes, prediabetes, and antidiabetic medication in patients with psychosis compared with control subjects and (2) determine what factors in patients with psychosis were associated with antidiabetic medication.	Diabetes and glucose disturbances in patients with psychosis in Sweden.	BMJ Open Diabetes Res Care				
Psychosis	positiveCorrelation	Prediabetes	Auto	26.0	path(DO:2468 ! Psychosis)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.930103481	26468398.0	Among patients with psychosis, 87 (10%) had prediabetes (fasting glucose, 6.1-6.9_mmol/L) compared with 149 (3.8%) control subjects.	Diabetes and glucose disturbances in patients with psychosis in Sweden.	BMJ Open Diabetes Res Care				
Prediabetes	positiveCorrelation	Psychosis	Auto	27.0	path(MESHD:D011236 ! Prediabetes)	positiveCorrelation	path(DO:2468 ! Psychosis)	0.844140708	26468398.0	Most patients with psychosis (77%) who had prediabetes fulfilled criteria for metabolic syndrome.	Diabetes and glucose disturbances in patients with psychosis in Sweden.	BMJ Open Diabetes Res Care				
Schizophrenia	positiveCorrelation	Prediabetes	Auto	22.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.822704136	25552846.0	Diabetes mellitus and impaired glucose tolerance in patients with schizophrenia, before and after antipsychotic treatment.	Diabetes mellitus and impaired glucose tolerance in patients with schizophrenia, before and after antipsychotic treatment.	J Neurosci Rural Pract				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	3.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.940294623	30071838.0	CONCLUSIONS: We find an increased risk of T2D in patients with SCZ who take a combination of at least three different psychotropic medication classes compared to patients whose medication consists only of one or two classes of drugs.	Combination therapy as a potential risk factor for the development of type 2 diabetes in patients with schizophrenia: the GOMAP study.	BMC Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	21.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.804401815	29754122.0	The exact prevalence of type 2 diabetes among people with schizophrenia varies across studies and ranges 2-5fold higher than in the general population, whereas the aetiology is complex and multifactorial.	Schizophrenia and type 2 diabetes mellitus.	Psychiatriki				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	4.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.81330353	30470734.0	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Transl Psychiatry				
Type 1 diabetes	positiveCorrelation	Schizophrenia	Auto	24.0	"path(MESHD:D003922 ! ""Type 1 diabetes"")"	positiveCorrelation	path(MESHD:D012559 ! Schizophrenia)	0.82590282	31816222.0	Type 1 diabetes mellitus and the risk for schizophrenia or schizoaffective disorder: a Swedish nationwide register-based cohort study.	Type 1 diabetes mellitus and the risk for schizophrenia or schizoaffective disorder: a Swedish nationwide register-based cohort study.	Neuro Endocrinol Lett				
Type 1 diabetes	positiveCorrelation	Schizoaffective disorder	Auto	25.0	"path(MESHD:D003922 ! ""Type 1 diabetes"")"	positiveCorrelation	"path(MESHD:D011618 ! ""Schizoaffective disorder"")"	0.8242082	31816222.0	Type 1 diabetes mellitus and the risk for schizophrenia or schizoaffective disorder: a Swedish nationwide register-based cohort study.	Type 1 diabetes mellitus and the risk for schizophrenia or schizoaffective disorder: a Swedish nationwide register-based cohort study.	Neuro Endocrinol Lett				
JAZF1	association	Type 2 diabetes	Auto	9.0	p(HGNC:28917 ! JAZF1)	association	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.816284597	27570842.0	Recently, the JAZF1 gene is found to be associated with prostate cancer and type 2 diabetes.	Prostate Cancer Related JAZF1 Gene is Associated with Schizophrenia.	J Schizophr Res				
Clozapine	association	Type 2 diabetes	Auto	38.0	a(CHEBI:3766 ! Clozapine)	association	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.874512851	32087425.0	Clozapine is associated with obesity and type 2 diabetes.	Metabolic measures 12 months after a randomised controlled trial of treatment of clozapine associated obesity and diabetes with exenatide (CODEX).	J Psychiatr Res				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	4.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.81330353	30470734.0	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Transl Psychiatry				
Schizophrenia	positiveCorrelation	Prediabetes	Auto	3.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.854451299	23775046.0	The prevalence of glucose intolerance in Japanese schizophrenic patients with a normal fasting glucose level.	The prevalence of glucose intolerance in Japanese schizophrenic patients with a normal fasting glucose level.	J Clin Psychopharmacol				
Schizophrenia	positiveCorrelation	Prediabetes	Auto	4.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.819254637	23775046.0	We investigated the prevalence of abnormal glucose tolerance after glucose loading among Japanese inpatients with schizophrenia, with normal fasting glucose levels.	The prevalence of glucose intolerance in Japanese schizophrenic patients with a normal fasting glucose level.	J Clin Psychopharmacol				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	2.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.81330353	30470734.0	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Transl Psychiatry				
Antipsychotic	positiveCorrelation	Prediabetes	Auto	14.0	a(CHEBI:35476 ! Antipsychotic)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.850519657	27720402.0	We hypothesised that biochemical measures of prediabetic states would be more common in antipsychotic naive patients with first-episode psychosis than in healthy matched controls.	The association between first-episode psychosis and abnormal glycaemic control: systematic review and meta-analysis.	Lancet Psychiatry				
Schizophrenia	positiveCorrelation	Prediabetes	Auto	18.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.889680326	23369226.0	AIMS: The main aims of the study were to investigate the prevalence of pre-diabetes and diabetes mellitus (DM) in patients with schizophrenia, to compare it with those published in the general population, and to assess significant associations with dysglycemia defined as having either pre-DM or DM.	Diabetes mellitus in patients with schizophrenia in West-Bank, Palestine.	Diabetes Res Clin Pract				
Mental disorder	positiveCorrelation	Type 2 diabetes	Auto	22.0	"path(MESHD:D001523 ! ""Mental disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.847315311	33591592.0	BACKGROUND: The prevalence of type 2 diabetes is increased in individuals with mental disorders.	Interventions for preventing type 2 diabetes in adults with mental disorders in low- and middle-income countries.	Cochrane Database Syst Rev				
Schizophrenia	positiveCorrelation	Type 1 diabetes	Auto	57.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003922 ! ""Type 1 diabetes"")"	0.830726326	28593353.0	METHODS: Using a nested case-control study design, we identified cases of DKA, type 1 diabetes and type 2 diabetes in a previously diabetes-naive population with schizophrenia in Denmark from 1995 to 2014.	Diabetic ketoacidosis and diabetes associated with antipsychotic exposure among a previously diabetes-naive population with schizophrenia: a nationwide nested case-control study.	Diabetologia				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	58.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.847161889	28593353.0	METHODS: Using a nested case-control study design, we identified cases of DKA, type 1 diabetes and type 2 diabetes in a previously diabetes-naive population with schizophrenia in Denmark from 1995 to 2014.	Diabetic ketoacidosis and diabetes associated with antipsychotic exposure among a previously diabetes-naive population with schizophrenia: a nationwide nested case-control study.	Diabetologia				
Schizophrenia	positiveCorrelation	Type 1 diabetes	Auto	60.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003922 ! ""Type 1 diabetes"")"	0.869741678	28593353.0	RESULTS: Of 29,955 individuals with schizophrenia, we identified 28 individuals with DKA, 90 with type 1 diabetes and 2140 with type 2 diabetes.	Diabetic ketoacidosis and diabetes associated with antipsychotic exposure among a previously diabetes-naive population with schizophrenia: a nationwide nested case-control study.	Diabetologia				
Mental disorder	positiveCorrelation	Type 2 diabetes	Auto	28.0	"path(MESHD:D001523 ! ""Mental disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.852609277	27111458.0	Adults with serious mental illness (SMI) are twice as likely as adults among the general population to have Type 2 diabetes.	Self-Efficacy and Hemoglobin A1C Among Adults With Serious Mental Illness and Type 2 Diabetes: The Roles of Cognitive Functioning and Psychiatric Symptom Severity.	Psychosom Med				
Type 2 diabetes	positiveCorrelation	Bipolar disorder	Auto	22.0	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	positiveCorrelation	"path(MESHD:D001714 ! ""Bipolar disorder"")"	0.842735291	29579625.0	Cross-sectional studies indicate that comorbid insulin resistance (IR) and type 2 diabetes are associated with a more severe course of bipolar disorder (BD); however, this relationship has not previously been assessed longitudinally.	Course of bipolar illness worsens after onset of insulin resistance.	J Psychiatr Res				
Lithium (medication)	increases	Nephrogenic diabetes insipidus	Auto	16.0	"a(CHEBI:49713 ! ""Lithium (medication)"")"	increases	"path(MESHD:D018500 ! ""Nephrogenic diabetes insipidus"")"	0.805581093	32621644.0	Therefore, novel treatments are needed for lithium-induced NDI.	A double-blind, randomized, placebo-controlled pilot trial of atorvastatin for nephrogenic diabetes insipidus in lithium users.	Bipolar Disord				
Type 2 diabetes	positiveCorrelation	Mental disorder	Auto	33.0	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	positiveCorrelation	"path(MESHD:D001523 ! ""Mental disorder"")"	0.806292295	32611677.0	CONCLUSIONS: T2D diagnosis is associated with higher likelihood of experiencing other physical and mental illnesses.	Eleven-year multimorbidity burden among 637 255 people with and without type 2 diabetes: a population-based study using primary care and linked hospitalisation data.	BMJ Open				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	3.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.940294623	30071838.0	CONCLUSIONS: We find an increased risk of T2D in patients with SCZ who take a combination of at least three different psychotropic medication classes compared to patients whose medication consists only of one or two classes of drugs.	Combination therapy as a potential risk factor for the development of type 2 diabetes in patients with schizophrenia: the GOMAP study.	BMC Psychiatry				
Type 2 diabetes	positiveCorrelation	Obesity	Auto	9.0	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	positiveCorrelation	path(MESHD:D009765 ! Obesity)	0.80553472	28199911.0	Females and patients with type 2 diabetes mellitus had increased risk for obesity.	The prevalence, risk factors and clinical correlates of obesity in Chinese patients with schizophrenia.	Psychiatry Res				
Bipolar disorder	positiveCorrelation	Type 2 diabetes	Auto	3.0	"path(MESHD:D001714 ! ""Bipolar disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.904845595	26214054.0	Prevalence and predictors of type 2 diabetes mellitus in people with bipolar disorder: a systematic review and meta-analysis.	Prevalence and predictors of type 2 diabetes mellitus in people with bipolar disorder: a systematic review and meta-analysis.	J Clin Psychiatry				
Bipolar disorder	positiveCorrelation	Type 2 diabetes	Auto	4.0	"path(MESHD:D001714 ! ""Bipolar disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.82460171	26214054.0	We also compared the prevalence of T2DM in people with bipolar disorder versus age- and gender-matched healthy controls.	Prevalence and predictors of type 2 diabetes mellitus in people with bipolar disorder: a systematic review and meta-analysis.	J Clin Psychiatry				
Bipolar disorder	positiveCorrelation	Type 2 diabetes	Auto	5.0	"path(MESHD:D001714 ! ""Bipolar disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.897840679	26214054.0	CONCLUSIONS: T2DM is significantly more common in people with bipolar disorder than in healthy controls of similar age and sex.	Prevalence and predictors of type 2 diabetes mellitus in people with bipolar disorder: a systematic review and meta-analysis.	J Clin Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	33.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.814144194	26209325.0	CONCLUSION: Elevated risk for type 2 diabetes in people with schizophrenia is not simply a consequence of antipsychotic medication; type 2 diabetes and schizophrenia share familial risk factors.	Common familial risk factors for schizophrenia and diabetes mellitus.	Aust N Z J Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	22.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.8103652	29170826.0	Furthermore, the risk for developing type-2 diabetes mellitus was slightly increased in schizophrenia.	Increased pericardial adipose tissue and cardiometabolic risk in patients with schizophrenia versus healthy controls.	Eur Arch Psychiatry Clin Neurosci				
Bipolar disorder	positiveCorrelation	Prediabetes	Auto	25.0	"path(MESHD:D001714 ! ""Bipolar disorder"")"	positiveCorrelation	path(MESHD:D011236 ! Prediabetes)	0.92665416	32390884.0	Prevalence of Prediabetes and Diabetes Mellitus Type II in Bipolar Disorder.	Prevalence of Prediabetes and Diabetes Mellitus Type II in Bipolar Disorder.	Front Psychiatry				
Bipolar disorder	positiveCorrelation	Type 2 diabetes	Auto	26.0	"path(MESHD:D001714 ! ""Bipolar disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.89779073	32390884.0	Prevalence of Prediabetes and Diabetes Mellitus Type II in Bipolar Disorder.	Prevalence of Prediabetes and Diabetes Mellitus Type II in Bipolar Disorder.	Front Psychiatry				
Bipolar disorder	positiveCorrelation	Type 2 diabetes	Auto	27.0	"path(MESHD:D001714 ! ""Bipolar disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.831999779	32390884.0	Results: Patients suffering from BD had a T2D prevalence of 7%, which was not significantly different from the control group (6%).	Prevalence of Prediabetes and Diabetes Mellitus Type II in Bipolar Disorder.	Front Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	24.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.940294623	30071838.0	CONCLUSIONS: We find an increased risk of T2D in patients with SCZ who take a combination of at least three different psychotropic medication classes compared to patients whose medication consists only of one or two classes of drugs.	Combination therapy as a potential risk factor for the development of type 2 diabetes in patients with schizophrenia: the GOMAP study.	BMC Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	4.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.81330353	30470734.0	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Transl Psychiatry				
Statin	decreases	Nephrogenic diabetes insipidus	Auto	17.0	a(UNKNOWN:Statin)	decreases	"path(MESHD:D018500 ! ""Nephrogenic diabetes insipidus"")"	0.943313837	30012135.0	We recently found that use of statins is associated with lower NDI risk in a cross-sectional study.	Atorvastatin in the treatment of Lithium-induced nephrogenic diabetes insipidus: the protocol of a randomized controlled trial.	BMC Psychiatry				
Atorvastatin	decreases	Nephrogenic diabetes insipidus	Auto	18.0	a(CHEBI:39548 ! Atorvastatin)	decreases	"path(MESHD:D018500 ! ""Nephrogenic diabetes insipidus"")"	0.852844298	30012135.0	CONCLUSION: The aim of this clinical trial is to provide preliminary data about the efficacy of atorvastatin in treating NDI.	Atorvastatin in the treatment of Lithium-induced nephrogenic diabetes insipidus: the protocol of a randomized controlled trial.	BMC Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	14.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.808792949	29320380.0	BACKGROUND: Type 2 diabetes is 2- to 3-fold more common in patients with schizophrenia than in the general population.	Reducing the Risk of Type 2 Diabetes in Nonselected Outpatients With Schizophrenia: A 30-Month Program.	J Psychiatr Pract				
Type 1 diabetes	isA	Herpes simplex	Auto	3.0	"path(MESHD:D003922 ! ""Type 1 diabetes"")"	isA	"path(MESHD:D006561 ! ""Herpes simplex"")"	0.904731572	22490995.0	Latent infection with neurotropic herpes viruses, such as herpes simplex virus, type 1 (HSV1), has been generally considered benign in most immunocompetent individuals except for rare cases of encephalitis.	Exposure to herpes simplex virus type 1 and cognitive impairments in individuals with schizophrenia.	Schizophr Bull				
Antipsychotic	increases	Prediabetes	Auto	1.0	a(CHEBI:35476 ! Antipsychotic)	increases	path(MESHD:D011236 ! Prediabetes)	0.916574776	23131894.0	The development of impaired glucose tolerance induced by antipsychotics (APs) is of concern as a serious adverse effect of psychiatric drug therapy.	Excessive insulin secretion in Japanese schizophrenic patients treated with antipsychotics despite normal fasting glucose levels.	J Clin Psychopharmacol				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	4.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.81330353	30470734.0	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Transl Psychiatry				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	4.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.81330353	30470734.0	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Evidence for genetic contribution to the increased risk of type 2 diabetes in schizophrenia.	Transl Psychiatry				
Type 2 diabetes	association	Insomnia	Auto	0.0	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	association	path(MESHD:D007319 ! Insomnia)	0.921115279	26166263.0	T2D and Depression Risk Gene Proteasome Modulator 9 is Linked to Insomnia.	T2D and Depression Risk Gene Proteasome Modulator 9 is Linked to Insomnia.	Sci Rep				
Mental disorder	positiveCorrelation	Type 2 diabetes	Auto	58.0	"path(MESHD:D001523 ! ""Mental disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.89979887	31471379.0	OBJECTIVE: To determine the incidence of type 2 diabetes in people with a history of hospitalization for major mental illness versus no mental illness in Scotland by time period and sociodemographics.	Incidence of Type 2 Diabetes in People With a History of Hospitalization for Major Mental Illness in Scotland, 2001-2015: A Retrospective Cohort Study.	Diabetes Care				
Mental disorder	positiveCorrelation	Type 2 diabetes	Auto	59.0	"path(MESHD:D001523 ! ""Mental disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.893897891	31471379.0	OBJECTIVE: To determine the incidence of type 2 diabetes in people with a history of hospitalization for major mental illness versus no mental illness in Scotland by time period and sociodemographics.	Incidence of Type 2 Diabetes in People With a History of Hospitalization for Major Mental Illness in Scotland, 2001-2015: A Retrospective Cohort Study.	Diabetes Care				
Schizophrenia	positiveCorrelation	Type 2 diabetes	Auto	28.0	path(MESHD:D012559 ! Schizophrenia)	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.824904799	27093067.0	However, even drug-naive patients with SCZ are at increased risk for T2D.	Dopamine-prolactin pathway potentially contributes to the schizophrenia and type 2 diabetes comorbidity.	Transl Psychiatry				
Statin	decreases	Nephrogenic diabetes insipidus	Auto	17.0	a(UNKNOWN:Statin)	decreases	"path(MESHD:D018500 ! ""Nephrogenic diabetes insipidus"")"	0.943313837	30012135.0	We recently found that use of statins is associated with lower NDI risk in a cross-sectional study.	Atorvastatin in the treatment of Lithium-induced nephrogenic diabetes insipidus: the protocol of a randomized controlled trial.	BMC Psychiatry				
Atorvastatin	decreases	Nephrogenic diabetes insipidus	Auto	18.0	a(CHEBI:39548 ! Atorvastatin)	decreases	"path(MESHD:D018500 ! ""Nephrogenic diabetes insipidus"")"	0.852844298	30012135.0	CONCLUSION: The aim of this clinical trial is to provide preliminary data about the efficacy of atorvastatin in treating NDI.	Atorvastatin in the treatment of Lithium-induced nephrogenic diabetes insipidus: the protocol of a randomized controlled trial.	BMC Psychiatry				
Anxiety disorder	positiveCorrelation	Type 2 diabetes	Auto	10.0	"path(MESHD:D001008 ! ""Anxiety disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.915309668	26060262.0	OBJECTIVE: While previous work has demonstrated elevation of both comorbid anxiety disorders and diabetes mellitus type II in individuals with serious mental illness, little is known regarding the impact of comorbid anxiety on diabetes mellitus type II outcomes in serious mental illness populations.	Associations between comorbid anxiety, diabetes control, and overall medical burden in patients with serious mental illness and diabetes.	Int J Psychiatry Med				
Anxiety disorder	positiveCorrelation	Type 2 diabetes	Auto	12.0	"path(MESHD:D001008 ! ""Anxiety disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.923343718	26060262.0	OBJECTIVE: While previous work has demonstrated elevation of both comorbid anxiety disorders and diabetes mellitus type II in individuals with serious mental illness, little is known regarding the impact of comorbid anxiety on diabetes mellitus type II outcomes in serious mental illness populations.	Associations between comorbid anxiety, diabetes control, and overall medical burden in patients with serious mental illness and diabetes.	Int J Psychiatry Med				
Mental disorder	positiveCorrelation	Type 2 diabetes	Auto	14.0	"path(MESHD:D001523 ! ""Mental disorder"")"	positiveCorrelation	"path(MESHD:D003924 ! ""Type 2 diabetes"")"	0.84365952	26060262.0	OBJECTIVE: While previous work has demonstrated elevation of both comorbid anxiety disorders and diabetes mellitus type II in individuals with serious mental illness, little is known regarding the impact of comorbid anxiety on diabetes mellitus type II outcomes in serious mental illness populations.	Associations between comorbid anxiety, diabetes control, and overall medical burden in patients with serious mental illness and diabetes.	Int J Psychiatry Med				
