KEGG Pathway ID	p value	q value	Pathway Name
hsa05143	7.87E-05	1.72E-04	African trypanosomiasis
hsa05202	8.16E-05	1.75E-04	Transcriptional misregulation in cancer
hsa05332	1.25E-04	2.66E-04	Graft-versus-host disease
hsa05170	1.33E-04	2.80E-04	Human immunodeficiency virus 1 infection
hsa04940	1.35E-04	2.80E-04	Type I diabetes mellitus
hsa04014	2.02E-04	4.17E-04	Ras signaling pathway
hsa04650	2.36E-04	4.81E-04	Natural killer cell mediated cytotoxicity
hsa05131	2.46E-04	4.96E-04	Shigellosis
hsa04550	3.39E-04	6.77E-04	Signaling pathways regulating pluripotency of stem cells
hsa04370	3.45E-04	6.84E-04	VEGF signaling pathway
hsa05224	3.76E-04	7.37E-04	Breast cancer
hsa04261	3.96E-04	7.69E-04	Adrenergic signaling in cardiomyocytes
hsa04921	4.48E-04	8.63E-04	Oxytocin signaling pathway
hsa04924	5.47E-04	1.03E-03	Renin secretion
hsa05211	5.47E-04	1.03E-03	Renal cell carcinoma
hsa04622	5.71E-04	1.07E-03	RIG-I-like receptor signaling pathway
hsa04658	1.26E-03	2.34E-03	Th1 and Th2 cell differentiation
hsa01522	1.43E-03	2.62E-03	Endocrine resistance
hsa04660	1.79E-03	3.27E-03	T cell receptor signaling pathway
hsa04714	2.01E-03	3.63E-03	Thermogenesis
hsa04725	2.27E-03	4.07E-03	Cholinergic synapse
hsa04710	2.31E-03	4.10E-03	Circadian rhythm
hsa03410	2.62E-03	4.60E-03	Base excision repair
hsa04926	3.31E-03	5.71E-03	Relaxin signaling pathway
hsa04960	3.28E-03	5.71E-03	Aldosterone-regulated sodium reabsorption
hsa04728	3.53E-03	6.04E-03	Dopaminergic synapse
hsa04915	3.91E-03	6.65E-03	Estrogen signaling pathway
hsa05219	4.02E-03	6.77E-03	Bladder cancer
hsa05016	5.47E-03	9.15E-03	Huntington disease
hsa05030	5.69E-03	9.44E-03	Cocaine addiction
hsa04913	6.16E-03	1.01E-02	Ovarian steroidogenesis
hsa05014	7.64E-03	1.25E-02	Amyotrophic lateral sclerosis (ALS)
hsa05213	7.90E-03	1.28E-02	Endometrial cancer
hsa05416	8.16E-03	1.31E-02	Viral myocarditis
hsa04623	9.26E-03	1.46E-02	Cytosolic DNA-sensing pathway
hsa05217	9.26E-03	1.46E-02	Basal cell carcinoma
hsa04927	9.84E-03	1.54E-02	Cortisol synthesis and secretion
hsa04664	1.04E-02	1.62E-02	Fc epsilon RI signaling pathway
hsa05230	1.13E-02	1.75E-02	Central carbon metabolism in cancer
hsa05218	1.20E-02	1.83E-02	Melanoma
hsa04115	1.23E-02	1.87E-02	p53 signaling pathway
hsa05214	1.29E-02	1.95E-02	Glioma
hsa03320	1.33E-02	1.99E-02	PPAR signaling pathway
hsa04662	1.46E-02	2.18E-02	B cell receptor signaling pathway
hsa05204	1.57E-02	2.32E-02	Chemical carcinogenesis
hsa04610	1.64E-02	2.41E-02	Complement and coagulation cascades
hsa04666	1.90E-02	2.77E-02	Fc gamma R-mediated phagocytosis
hsa05150	1.98E-02	2.86E-02	Staphylococcus aureus infection
hsa04974	2.02E-02	2.88E-02	Protein digestion and absorption
hsa05414	2.02E-02	2.88E-02	Dilated cardiomyopathy (DCM)
hsa04925	2.14E-02	3.01E-02	Aldosterone synthesis and secretion
hsa05231	2.14E-02	3.01E-02	Choline metabolism in cancer
hsa04914	2.18E-02	3.05E-02	Progesterone-mediated oocyte maturation
hsa04670	2.79E-02	3.84E-02	Leukocyte transendothelial migration
hsa04726	2.79E-02	3.84E-02	Serotonergic synapse
hsa01200	2.97E-02	4.07E-02	Carbon metabolism
hsa04919	3.16E-02	4.30E-02	Thyroid hormone signaling pathway
hsa04110	3.31E-02	4.44E-02	Cell cycle
hsa04611	3.31E-02	4.44E-02	Platelet activation
