KEGG Pathway ID	p value	q value	Pathway Name
hsa04710	1.35E-05	8.67E-05	Circadian rhythm
hsa04012	2.42E-05	0.0001519509616	ErbB signaling pathway
hsa05160	2.88E-05	0.0001765464856	Hepatitis C
hsa04110	3.79E-05	0.0002210206854	Cell cycle
hsa05169	3.79E-05	0.0002210206854	Epstein-Barr virus infection
hsa00010	6.30E-05	0.0003596431565	Glycolysis / Gluconeogenesis
hsa04151	6.71E-05	0.0003745266273	PI3K-Akt signaling pathway
hsa03060	7.55E-05	0.0004101204789	Protein export
hsa04910	7.68E-05	0.0004101204789	Insulin signaling pathway
hsa01524	9.40E-05	0.0004815936186	Platinum drug resistance
hsa05100	9.40E-05	0.0004815936186	Bacterial invasion of epithelial cells
hsa01230	0.0001014557545	0.0005093078875	Biosynthesis of amino acids
hsa00280	0.0001181155528	0.0005813137989	Valine, leucine and isoleucine degradation
hsa05167	0.000133281409	0.0006433391087	Kaposi sarcoma-associated herpesvirus infection
hsa03040	0.0001378398989	0.0006527889552	Spliceosome
hsa04340	0.0001437760027	0.0006613608833	Hedgehog signaling pathway
hsa04966	0.0001449197155	0.0006613608833	Collecting duct acid secretion
hsa04218	0.0001889695864	0.0008469886819	Cellular senescence
hsa04935	0.0002054928114	0.0009048893974	Growth hormone synthesis, secretion and action
hsa00630	0.0002209937503	0.0009563695055	Glyoxylate and dicarboxylate metabolism
hsa04919	0.0002277048949	0.0009687106547	Thyroid hormone signaling pathway
hsa05210	0.0002328194212	0.0009739612452	Colorectal cancer
hsa05225	0.0003123353002	0.001285182957	Hepatocellular carcinoma
hsa04114	0.0003211490326	0.0013001356	Oocyte meiosis
hsa04810	0.000335423865	0.00130582035	Regulation of actin cytoskeleton
hsa04926	0.0003366955382	0.00130582035	Relaxin signaling pathway
hsa05164	0.0003381606484	0.00130582035	Influenza A
hsa00640	0.0003623480463	0.0013780206	Propanoate metabolism
hsa05215	0.0004462749838	0.001671865984	Prostate cancer
hsa00250	0.0004530362159	0.00167223662	Alanine, aspartate and glutamate metabolism
hsa04915	0.0004840033962	0.001760650035	Estrogen signaling pathway
hsa04960	0.0005039605015	0.00180705837	Aldosterone-regulated sodium reabsorption
hsa04664	0.000570271643	0.002016030738	Fc epsilon RI signaling pathway
hsa04014	0.0006012439298	0.002096003144	Ras signaling pathway
hsa04660	0.0006463209	0.002222281451	T cell receptor signaling pathway
hsa04917	0.0006973845823	0.00236545311	Prolactin signaling pathway
hsa04922	0.0007145828625	0.002391470646	Glucagon signaling pathway
hsa03008	0.0007882896343	0.002569619457	Ribosome biogenesis in eukaryotes
hsa04931	0.0007882896343	0.002569619457	Insulin resistance
hsa04668	0.0009531981509	0.003067342768	TNF signaling pathway
hsa04725	0.0009982868627	0.003102988286	Cholinergic synapse
hsa04962	0.0009803083186	0.003102988286	Vasopressin-regulated water reabsorption
hsa05212	0.001013725257	0.003102988286	Pancreatic cancer
hsa05220	0.001013725257	0.003102988286	Chronic myeloid leukemia
hsa03010	0.001122186437	0.003393599947	Ribosome
hsa04721	0.001139666147	0.003405430986	Synaptic vesicle cycle
hsa01521	0.0012068077	0.003522562767	EGFR tyrosine kinase inhibitor resistance
hsa04310	0.001206933857	0.003522562767	Wnt signaling pathway
hsa04973	0.001258021793	0.003629465173	Carbohydrate digestion and absorption
hsa04071	0.001304212742	0.003678173014	Sphingolipid signaling pathway
hsa04722	0.001304212742	0.003678173014	Neurotrophin signaling pathway
hsa00520	0.001361649633	0.003755758879	Amino sugar and nucleotide sugar metabolism
hsa05135	0.001361467667	0.003755758879	Yersinia infection
hsa04964	0.001521069769	0.004149875131	Proximal tubule bicarbonate reclamation
hsa00230	0.001967143708	0.005309172803	Purine metabolism
hsa05163	0.002068385538	0.005464892316	Human cytomegalovirus infection
hsa05235	0.002049087366	0.005464892316	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa04068	0.002125686796	0.005557785269	FoxO signaling pathway
hsa05152	0.002286590079	0.005916846493	Tuberculosis
hsa05323	0.002369318846	0.006068357453	Rheumatoid arthritis
hsa05162	0.002757360009	0.006920973622	Measles
hsa05213	0.00274511995	0.006920973622	Endometrial cancer
hsa04370	0.00292181298	0.007261139187	VEGF signaling pathway
hsa04010	0.003062003072	0.007534929128	MAPK signaling pathway
hsa04062	0.003094153996	0.007540122844	Chemokine signaling pathway
hsa00310	0.003298205928	0.007809902717	Lysine degradation
hsa04914	0.003255900874	0.007809902717	Progesterone-mediated oocyte maturation
hsa05130	0.003278940707	0.007809902717	Pathogenic Escherichia coli infection
hsa05142	0.003700683555	0.008681042731	Chagas disease (American trypanosomiasis)
hsa04929	0.003922640735	0.009116507634	GnRH secretion
hsa04136	0.003985681939	0.009173762937	Autophagy - other
hsa04625	0.004020374196	0.009173762937	C-type lectin receptor signaling pathway
