KEGG Pathway ID	p value	q value	Pathway Name
hsa05164	1.18E-23	7.42E-23	Influenza A
hsa05170	1.29E-23	7.94E-23	Human immunodeficiency virus 1 infection
hsa05016	1.95E-23	1.18E-22	Huntington disease
hsa05235	3.53E-23	2.09E-22	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05321	4.70E-23	2.73E-22	Inflammatory bowel disease (IBD)
hsa05203	5.16E-23	2.94E-22	Viral carcinogenesis
hsa04630	5.86E-23	3.28E-22	JAK-STAT signaling pathway
hsa04012	6.30E-23	3.46E-22	ErbB signaling pathway
hsa05142	9.38E-23	5.06E-22	Chagas disease (American trypanosomiasis)
hsa05140	1.11E-22	5.86E-22	Leishmaniasis
hsa04510	1.97E-22	1.03E-21	Focal adhesion
hsa04657	3.51E-22	1.79E-21	IL-17 signaling pathway
hsa04935	7.72E-22	3.89E-21	Growth hormone synthesis, secretion and action
hsa05033	8.69E-22	4.30E-21	Nicotine addiction
hsa04723	2.63E-21	1.28E-20	Retrograde endocannabinoid signaling
hsa05226	3.56E-21	1.71E-20	Gastric cancer
hsa05130	3.88E-21	1.83E-20	Pathogenic Escherichia coli infection
hsa05145	4.91E-21	2.28E-20	Toxoplasmosis
hsa05162	6.91E-21	3.16E-20	Measles
hsa05012	1.17E-20	5.27E-20	Parkinson disease
hsa05210	1.42E-20	6.32E-20	Colorectal cancer
hsa04620	2.12E-20	9.28E-20	Toll-like receptor signaling pathway
hsa05132	2.49E-20	1.07E-19	Salmonella infection
hsa04210	2.86E-20	1.22E-19	Apoptosis
hsa04726	6.31E-20	2.65E-19	Serotonergic synapse
hsa04062	8.99E-20	3.72E-19	Chemokine signaling pathway
hsa04920	9.62E-20	3.93E-19	Adipocytokine signaling pathway
hsa04917	1.59E-19	6.41E-19	Prolactin signaling pathway
hsa05014	4.10E-19	1.63E-18	Amyotrophic lateral sclerosis (ALS)
hsa05218	4.23E-19	1.66E-18	Melanoma
hsa04664	4.57E-19	1.77E-18	Fc epsilon RI signaling pathway
hsa04152	6.70E-19	2.56E-18	AMPK signaling pathway
hsa04921	7.45E-19	2.81E-18	Oxytocin signaling pathway
hsa05214	1.71E-18	6.37E-18	Glioma
hsa04658	1.77E-18	6.53E-18	Th1 and Th2 cell differentiation
hsa04020	2.15E-18	7.82E-18	Calcium signaling pathway
hsa04725	4.44E-18	1.60E-17	Cholinergic synapse
hsa05134	6.09E-18	2.16E-17	Legionellosis
hsa04934	6.36E-18	2.23E-17	Cushing syndrome
hsa05223	9.33E-18	3.24E-17	Non-small cell lung cancer
hsa05213	1.04E-17	3.58E-17	Endometrial cancer
hsa04713	1.14E-17	3.86E-17	Circadian entrainment
hsa04060	4.83E-17	1.62E-16	Cytokine-cytokine receptor interaction
hsa04919	5.33E-17	1.77E-16	Thyroid hormone signaling pathway
hsa04931	5.62E-17	1.85E-16	Insulin resistance
hsa04720	6.92E-17	2.25E-16	Long-term potentiation
hsa04213	7.94E-17	2.55E-16	Longevity regulating pathway - multiple species
hsa04621	9.15E-17	2.91E-16	NOD-like receptor signaling pathway
hsa04910	9.99E-17	3.14E-16	Insulin signaling pathway
hsa04137	1.09E-16	3.38E-16	Mitophagy - animal
hsa04810	1.20E-16	3.69E-16	Regulation of actin cytoskeleton
hsa04071	2.15E-16	6.55E-16	Sphingolipid signaling pathway
hsa05220	3.00E-16	9.06E-16	Chronic myeloid leukemia
hsa05202	7.76E-16	2.32E-15	Transcriptional misregulation in cancer
hsa05231	1.13E-15	3.35E-15	Choline metabolism in cancer
hsa05034	1.44E-15	4.21E-15	Alcoholism
hsa04928	1.78E-15	5.18E-15	Parathyroid hormone synthesis, secretion and action
hsa04370	2.81E-15	8.07E-15	VEGF signaling pathway
hsa04550	2.92E-15	8.32E-15	Signaling pathways regulating pluripotency of stem cells
hsa04727	3.87E-15	1.09E-14	GABAergic synapse
hsa04072	7.57E-15	2.12E-14	Phospholipase D signaling pathway
hsa05219	7.86E-15	2.18E-14	Bladder cancer
hsa05323	1.04E-14	2.85E-14	Rheumatoid arthritis
hsa04662	1.27E-14	3.45E-14	B cell receptor signaling pathway
hsa05211	1.83E-14	4.92E-14	Renal cell carcinoma
hsa05020	5.32E-14	1.42E-13	Prion diseases
hsa05032	5.90E-14	1.56E-13	Morphine addiction
hsa05222	8.03E-14	2.11E-13	Small cell lung cancer
hsa01524	8.20E-14	2.13E-13	Platinum drug resistance
hsa04371	1.43E-13	3.67E-13	Apelin signaling pathway
hsa04915	1.43E-13	3.67E-13	Estrogen signaling pathway
hsa05330	1.86E-13	4.72E-13	Allograft rejection
hsa04110	2.31E-13	5.81E-13	Cell cycle
hsa04514	2.38E-13	5.94E-13	Cell adhesion molecules (CAMs)
hsa04940	3.57E-13	8.84E-13	Type I diabetes mellitus
hsa04666	5.91E-13	1.45E-12	Fc gamma R-mediated phagocytosis
hsa04310	6.74E-13	1.64E-12	Wnt signaling pathway
hsa04926	7.49E-13	1.81E-12	Relaxin signaling pathway
hsa04912	7.89E-13	1.89E-12	GnRH signaling pathway
hsa04540	1.33E-12	3.16E-12	Gap junction
hsa05230	2.17E-12	5.13E-12	Central carbon metabolism in cancer
hsa04730	4.86E-12	1.14E-11	Long-term depression
hsa04650	5.20E-12	1.21E-11	Natural killer cell mediated cytotoxicity
hsa04750	5.28E-12	1.22E-11	Inflammatory mediator regulation of TRP channels
hsa04360	6.97E-12	1.59E-11	Axon guidance
hsa05144	9.28E-12	2.11E-11	Malaria
hsa05120	1.78E-11	4.01E-11	Epithelial cell signaling in Helicobacter pylori infection
hsa04640	2.01E-11	4.49E-11	Hematopoietic cell lineage
hsa04216	2.19E-11	4.86E-11	Ferroptosis
hsa05146	4.20E-11	9.26E-11	Amoebiasis
hsa04115	4.51E-11	9.86E-11	p53 signaling pathway
hsa04714	5.89E-11	1.28E-10	Thermogenesis
hsa04217	6.09E-11	1.31E-10	Necroptosis
hsa04670	1.14E-10	2.44E-10	Leukocyte transendothelial migration
hsa04929	1.64E-10	3.49E-10	GnRH secretion
hsa05320	1.99E-10	4.21E-10	Autoimmune thyroid disease
hsa04611	2.15E-10	4.50E-10	Platelet activation
hsa04916	2.46E-10	5.12E-10	Melanogenesis
hsa05416	2.62E-10	5.42E-10	Viral myocarditis
hsa05143	3.05E-10	6.27E-10	African trypanosomiasis
hsa05332	3.88E-10	7.92E-10	Graft-versus-host disease
hsa04022	9.99E-10	2.03E-09	cGMP-PKG signaling pathway
hsa04721	1.25E-09	2.52E-09	Synaptic vesicle cycle
hsa04520	1.29E-09	2.58E-09	Adherens junction
hsa04530	1.60E-09	3.18E-09	Tight junction
hsa04930	1.86E-09	3.68E-09	Type II diabetes mellitus
hsa04064	2.09E-09	4.10E-09	NF-kappa B signaling pathway
hsa04330	2.44E-09	4.76E-09	Notch signaling pathway
hsa05310	2.63E-09	5.08E-09	Asthma
hsa04672	2.68E-09	5.15E-09	Intestinal immune network for IgA production
hsa04710	4.29E-09	8.19E-09	Circadian rhythm
hsa04914	4.77E-09	9.07E-09	Progesterone-mediated oocyte maturation
hsa04960	5.41E-09	1.02E-08	Aldosterone-regulated sodium reabsorption
hsa04136	6.85E-09	1.28E-08	Autophagy - other
hsa04390	1.42E-08	2.64E-08	Hippo signaling pathway
hsa04261	1.69E-08	3.13E-08	Adrenergic signaling in cardiomyocytes
hsa04145	2.29E-08	4.21E-08	Phagosome
hsa04622	4.10E-08	7.51E-08	RIG-I-like receptor signaling pathway
hsa05217	4.47E-08	8.13E-08	Basal cell carcinoma
hsa01523	5.00E-08	9.05E-08	Antifolate resistance
hsa05216	5.39E-08	9.69E-08	Thyroid cancer
hsa05410	1.04E-07	1.86E-07	Hypertrophic cardiomyopathy (HCM)
hsa04061	1.42E-07	2.52E-07	Viral protein interaction with cytokine and cytokine receptor
hsa04144	1.85E-07	3.27E-07	Endocytosis
hsa05412	1.98E-07	3.48E-07	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
hsa04911	2.38E-07	4.15E-07	Insulin secretion
hsa00380	2.96E-07	5.14E-07	Tryptophan metabolism
hsa04922	4.00E-07	6.90E-07	Glucagon signaling pathway
hsa04979	4.16E-07	7.14E-07	Cholesterol metabolism
hsa04270	5.04E-07	8.60E-07	Vascular smooth muscle contraction
hsa04114	7.11E-07	1.21E-06	Oocyte meiosis
hsa04215	7.42E-07	1.25E-06	Apoptosis - multiple species
hsa04610	9.52E-07	1.60E-06	Complement and coagulation cascades
hsa04612	1.24E-06	2.07E-06	Antigen processing and presentation
hsa00982	1.29E-06	2.14E-06	Drug metabolism - cytochrome P450
hsa04923	1.48E-06	2.45E-06	Regulation of lipolysis in adipocytes
hsa00590	1.58E-06	2.60E-06	Arachidonic acid metabolism
hsa05100	2.34E-06	3.81E-06	Bacterial invasion of epithelial cells
hsa04742	3.08E-06	4.97E-06	Taste transduction
hsa05204	3.08E-06	4.97E-06	Chemical carcinogenesis
hsa05168	4.81E-06	7.73E-06	Herpes simplex virus 1 infection
hsa05414	5.13E-06	8.20E-06	Dilated cardiomyopathy (DCM)
hsa00591	1.97E-05	3.14E-05	Linoleic acid metabolism
hsa04925	3.10E-05	4.90E-05	Aldosterone synthesis and secretion
hsa04623	4.02E-05	6.32E-05	Cytosolic DNA-sensing pathway
hsa04927	5.68E-05	8.88E-05	Cortisol synthesis and secretion
hsa04141	5.96E-05	9.29E-05	Protein processing in endoplasmic reticulum
hsa04350	6.65E-05	0.0001024949279	TGF-beta signaling pathway
hsa05150	6.65E-05	0.0001024949279	Staphylococcus aureus infection
hsa04924	0.0001083591655	0.0001661140507	Renin secretion
hsa00350	0.0001298891173	0.0001981137042	Tyrosine metabolism
hsa05322	0.0001857471573	0.0002818876457	Systemic lupus erythematosus
hsa00980	0.0002593438323	0.0003896608824	Metabolism of xenobiotics by cytochrome P450
hsa04918	0.0002593438323	0.0003896608824	Thyroid hormone synthesis
hsa03320	0.0002969413675	0.0004439420445	PPAR signaling pathway
hsa04962	0.0006515982519	0.0009693727688	Vasopressin-regulated water reabsorption
hsa00250	0.0007226604763	0.001069820901	Alanine, aspartate and glutamate metabolism
hsa02010	0.0007742985116	0.001140673905	ABC transporters
hsa04070	0.001043744833	0.001530150192	Phosphatidylinositol signaling system
hsa04971	0.001049267174	0.00153081491	Gastric acid secretion
hsa04512	0.001249689565	0.001814453119	ECM-receptor interaction
hsa00270	0.001466646272	0.002119268776	Cysteine and methionine metabolism
hsa04340	0.001700633128	0.002445672403	Hedgehog signaling pathway
hsa00360	0.001955321503	0.002797165955	Phenylalanine metabolism
hsa04913	0.001963573452	0.002797165955	Ovarian steroidogenesis
hsa00565	0.004341338089	0.006126561229	Ether lipid metabolism
hsa04973	0.004341338089	0.006126561229	Carbohydrate digestion and absorption
hsa00330	0.005638951521	0.007920759811	Arginine and proline metabolism
hsa00140	0.006776926597	0.009431483098	Steroid hormone biosynthesis
hsa00310	0.006776926597	0.009431483098	Lysine degradation
hsa00190	0.00792660141	0.01098088819	Oxidative phosphorylation
hsa04961	0.009095849587	0.01254313505	Endocrine and other factor-regulated calcium reabsorption
hsa04977	0.009679993005	0.0132879904	Vitamin digestion and absorption
hsa00592	0.01155060613	0.0157840862	alpha-Linolenic acid metabolism
hsa04972	0.0120315785	0.01636728246	Pancreatic secretion
hsa00983	0.01292048987	0.01749770377	Drug metabolism - other enzymes
hsa04970	0.01306638917	0.01761629255	Salivary secretion
hsa00790	0.01365255166	0.01832475822	Folate biosynthesis
hsa03030	0.01427704651	0.0190781772	DNA replication
hsa00562	0.01924595092	0.02560474528	Inositol phosphate metabolism
hsa00260	0.0232797257	0.03083542615	Glycine, serine and threonine metabolism
hsa04260	0.02405015016	0.03171679192	Cardiac muscle contraction
hsa00220	0.02764860819	0.03630382466	Arginine biosynthesis
hsa04976	0.02961872443	0.03872231505	Bile secretion
hsa00830	0.03373802549	0.04391760214	Retinol metabolism
hsa03410	0.03568488529	0.04625251227	Base excision repair
