KEGG Pathway ID	p value	q value	Pathway Name
hsa04720	3.08E-12	1.15E-11	Long-term potentiation
hsa05212	5.65E-12	2.08E-11	Pancreatic cancer
hsa04920	5.84E-12	2.12E-11	Adipocytokine signaling pathway
hsa05144	7.60E-12	2.73E-11	Malaria
hsa04510	9.66E-12	3.43E-11	Focal adhesion
hsa04915	1.44E-11	5.06E-11	Estrogen signaling pathway
hsa05034	2.01E-11	6.96E-11	Alcoholism
hsa05020	2.19E-11	7.50E-11	Prion diseases
hsa05219	2.64E-11	8.93E-11	Bladder cancer
hsa04217	2.75E-11	9.20E-11	Necroptosis
hsa04640	3.17E-11	1.05E-10	Hematopoietic cell lineage
hsa05143	3.59E-11	1.17E-10	African trypanosomiasis
hsa05202	4.28E-11	1.38E-10	Transcriptional misregulation in cancer
hsa04931	4.66E-11	1.49E-10	Insulin resistance
hsa05323	5.17E-11	1.63E-10	Rheumatoid arthritis
hsa04012	6.47E-11	2.02E-10	ErbB signaling pathway
hsa04072	8.81E-11	2.70E-10	Phospholipase D signaling pathway
hsa04514	8.81E-11	2.70E-10	Cell adhesion molecules (CAMs)
hsa04211	1.71E-10	5.19E-10	Longevity regulating pathway
hsa05170	1.94E-10	5.81E-10	Human immunodeficiency virus 1 infection
hsa05017	1.97E-10	5.85E-10	Spinocerebellar ataxia
hsa04750	3.15E-10	9.26E-10	Inflammatory mediator regulation of TRP channels
hsa04658	3.42E-10	9.94E-10	Th1 and Th2 cell differentiation
hsa05146	3.89E-10	1.12E-09	Amoebiasis
hsa04912	4.27E-10	1.22E-09	GnRH signaling pathway
hsa04926	5.00E-10	1.41E-09	Relaxin signaling pathway
hsa04917	5.29E-10	1.48E-09	Prolactin signaling pathway
hsa05330	7.53E-10	2.09E-09	Allograft rejection
hsa04810	9.90E-10	2.72E-09	Regulation of actin cytoskeleton
hsa05213	1.15E-09	3.14E-09	Endometrial cancer
hsa05222	2.13E-09	5.74E-09	Small cell lung cancer
hsa04071	2.26E-09	6.03E-09	Sphingolipid signaling pathway
hsa05223	2.34E-09	6.19E-09	Non-small cell lung cancer
hsa05220	2.41E-09	6.33E-09	Chronic myeloid leukemia
hsa05412	3.06E-09	7.95E-09	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
hsa04310	3.21E-09	8.26E-09	Wnt signaling pathway
hsa04068	3.51E-09	8.96E-09	FoxO signaling pathway
hsa04550	5.03E-09	1.27E-08	Signaling pathways regulating pluripotency of stem cells
hsa04540	5.54E-09	1.39E-08	Gap junction
hsa05218	6.33E-09	1.57E-08	Melanoma
hsa04727	6.82E-09	1.68E-08	GABAergic synapse
hsa04940	7.36E-09	1.80E-08	Type I diabetes mellitus
hsa05416	1.23E-08	2.98E-08	Viral myocarditis
hsa04916	1.26E-08	3.04E-08	Melanogenesis
hsa04721	2.46E-08	5.87E-08	Synaptic vesicle cycle
hsa04216	3.64E-08	8.60E-08	Ferroptosis
hsa05231	3.89E-08	9.12E-08	Choline metabolism in cancer
hsa05410	4.75E-08	1.11E-07	Hypertrophic cardiomyopathy (HCM)
hsa04061	5.55E-08	1.28E-07	Viral protein interaction with cytokine and cytokine receptor
hsa04650	6.41E-08	1.47E-07	Natural killer cell mediated cytotoxicity
hsa05214	7.95E-08	1.81E-07	Glioma
hsa04664	8.74E-08	1.97E-07	Fc epsilon RI signaling pathway
hsa04370	9.00E-08	2.01E-07	VEGF signaling pathway
hsa05216	9.19E-08	2.04E-07	Thyroid cancer
hsa04064	9.30E-08	2.05E-07	NF-kappa B signaling pathway
hsa04610	1.01E-07	2.22E-07	Complement and coagulation cascades
hsa05320	1.10E-07	2.40E-07	Autoimmune thyroid disease
hsa04730	1.15E-07	2.47E-07	Long-term depression
hsa04611	1.17E-07	2.50E-07	Platelet activation
hsa05211	1.36E-07	2.88E-07	Renal cell carcinoma
hsa04930	1.68E-07	3.53E-07	Type II diabetes mellitus
hsa04520	2.07E-07	4.34E-07	Adherens junction
hsa04929	2.87E-07	5.96E-07	GnRH secretion
hsa05032	3.01E-07	6.22E-07	Morphine addiction
hsa04927	3.56E-07	7.29E-07	Cortisol synthesis and secretion
hsa05332	4.38E-07	8.92E-07	Graft-versus-host disease
hsa04390	5.65E-07	1.14E-06	Hippo signaling pathway
hsa04911	6.44E-07	1.29E-06	Insulin secretion
hsa04137	6.64E-07	1.32E-06	Mitophagy - animal
hsa04371	7.00E-07	1.38E-06	Apelin signaling pathway
hsa04910	7.00E-07	1.38E-06	Insulin signaling pathway
hsa04261	8.09E-07	1.58E-06	Adrenergic signaling in cardiomyocytes
hsa05230	9.86E-07	1.91E-06	Central carbon metabolism in cancer
hsa04145	1.03E-06	1.98E-06	Phagosome
hsa01523	1.16E-06	2.22E-06	Antifolate resistance
hsa04152	1.21E-06	2.31E-06	AMPK signaling pathway
hsa04270	2.11E-06	3.99E-06	Vascular smooth muscle contraction
hsa04714	2.64E-06	4.96E-06	Thermogenesis
hsa05414	2.75E-06	5.13E-06	Dilated cardiomyopathy (DCM)
hsa04979	3.36E-06	6.23E-06	Cholesterol metabolism
hsa04925	4.27E-06	7.87E-06	Aldosterone synthesis and secretion
hsa04213	6.65E-06	1.22E-05	Longevity regulating pathway - multiple species
hsa04666	7.84E-06	1.42E-05	Fc gamma R-mediated phagocytosis
hsa05310	7.88E-06	1.42E-05	Asthma
hsa05217	8.01E-06	1.44E-05	Basal cell carcinoma
hsa01524	8.92E-06	1.59E-05	Platinum drug resistance
hsa04360	2.26E-05	4.00E-05	Axon guidance
hsa00380	2.37E-05	4.18E-05	Tryptophan metabolism
hsa04662	2.65E-05	4.62E-05	B cell receptor signaling pathway
hsa05120	2.65E-05	4.62E-05	Epithelial cell signaling in Helicobacter pylori infection
hsa04110	2.89E-05	5.00E-05	Cell cycle
hsa04670	2.99E-05	5.14E-05	Leukocyte transendothelial migration
hsa04742	4.06E-05	6.96E-05	Taste transduction
hsa00590	4.13E-05	6.99E-05	Arachidonic acid metabolism
hsa04623	4.13E-05	6.99E-05	Cytosolic DNA-sensing pathway
hsa05100	4.21E-05	7.09E-05	Bacterial invasion of epithelial cells
hsa04922	4.86E-05	8.13E-05	Glucagon signaling pathway
hsa04150	5.51E-05	9.16E-05	mTOR signaling pathway
hsa04672	6.70E-05	0.0001107067387	Intestinal immune network for IgA production
hsa04612	8.61E-05	0.0001415779185	Antigen processing and presentation
hsa04530	0.000103144356	0.0001686236382	Tight junction
hsa04924	0.0001045471916	0.0001699621941	Renin secretion
hsa04140	0.0001093566395	0.0001767932338	Autophagy - animal
hsa04330	0.0001937805406	0.00031154772	Notch signaling pathway
hsa04918	0.0002373320012	0.0003794703975	Thyroid hormone synthesis
hsa04144	0.0004380634866	0.0006965927574	Endocytosis
hsa00330	0.0004948662683	0.0007825556032	Arginine and proline metabolism
hsa00982	0.0005001901794	0.0007825556032	Drug metabolism - cytochrome P450
hsa04622	0.0005001901794	0.0007825556032	RIG-I-like receptor signaling pathway
hsa05150	0.0005762242486	0.0008966912103	Staphylococcus aureus infection
hsa00140	0.0006316616144	0.0009777315414	Steroid hormone biosynthesis
hsa04971	0.001017122387	0.001566045579	Gastric acid secretion
hsa04923	0.001181808757	0.001810033412	Regulation of lipolysis in adipocytes
hsa00250	0.001460662027	0.002213815885	Alanine, aspartate and glutamate metabolism
hsa00350	0.001460662027	0.002213815885	Tyrosine metabolism
hsa04960	0.001727377242	0.002604491075	Aldosterone-regulated sodium reabsorption
hsa04350	0.001873205291	0.002809807936	TGF-beta signaling pathway
hsa00591	0.002275758422	0.0033961318	Linoleic acid metabolism
hsa00220	0.002761308487	0.004099697804	Arginine biosynthesis
hsa04913	0.002882152443	0.004257392695	Ovarian steroidogenesis
hsa04512	0.003362914367	0.004942465055	ECM-receptor interaction
hsa04961	0.003685410456	0.005389218305	Endocrine and other factor-regulated calcium reabsorption
hsa04972	0.003728662636	0.005425204136	Pancreatic secretion
hsa04215	0.003837836857	0.005556271271	Apoptosis - multiple species
hsa04970	0.004363242127	0.006285660687	Salivary secretion
hsa02010	0.005448147557	0.007809906103	ABC transporters
hsa05204	0.006562650295	0.009361427627	Chemical carcinogenesis
hsa00790	0.007309241859	0.01037555796	Folate biosynthesis
hsa04115	0.008340215608	0.01178156671	p53 signaling pathway
hsa04340	0.009740768268	0.0136935438	Hedgehog signaling pathway
hsa04976	0.01142384473	0.01598239816	Bile secretion
hsa05322	0.0129516614	0.01803317448	Systemic lupus erythematosus
hsa05168	0.01449283276	0.0200829254	Herpes simplex virus 1 infection
hsa04070	0.01861385044	0.0256712345	Phosphatidylinositol signaling system
hsa04114	0.02109093223	0.02892569851	Oocyte meiosis
hsa04914	0.0211724185	0.02892569851	Progesterone-mediated oocyte maturation
hsa04260	0.02434298254	0.03310190617	Cardiac muscle contraction
hsa04973	0.02470673277	0.03344027551	Carbohydrate digestion and absorption
hsa04977	0.02647479545	0.03566743276	Vitamin digestion and absorption
hsa00980	0.02784431359	0.03733960947	Metabolism of xenobiotics by cytochrome P450
hsa03320	0.02985281566	0.03984940072	PPAR signaling pathway
